,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,decade
2234,URN:NBN:no-nb_digibok_2011030903006,Lett mat,"Döpp , Elisabeth / Willrich , Christian / Rebbe , Jörn / Beckers , Heinz-Josef / Karlsen , Per Chr.",oai:nb.bibsys.no:990007771704702202,1efc18a7ac3ac917a2b4f6a8d596152a,8203225217,Oslo,20000101,2000,Aschehoug,nob / ger,kokebøker / lett / mat / slankemat,641.563,,Faglitteratur,digibok,2000
2235,URN:NBN:no-nb_digibok_2013121206136,Mat for menn,"Bech-Karlsen , Jo / Hansen , Pål",oai:nb.bibsys.no:998541944524702202,c567312bedc03b3d6aefc3382d05e927,8200075796,Oslo,19850101,1985,Universitetsforlaget,nob,kokebøker,641.51,,Faglitteratur,digibok,1980
2236,URN:NBN:no-nb_digibok_2014110607517,Den nye menyen : lekre retter - mindre fett,"Waldenström , Victor / Egge , Berit Aulie",oai:nb.bibsys.no:998821661744702202,b97eeae7281b978771bbf631f66e8dce,8250409175,Oslo,19880101,1988,Grøndahl,nob / swe,kokebøker,641.5,,Faglitteratur,digibok,1980
2237,URN:NBN:no-nb_digibok_2010021703009,Jazzpizza,"Whitson , Craig / Gjesteland , Tore / Moi , Trond / Austrud , Peder",oai:nb.bibsys.no:999906705384702202,010c84f722e29a876c30eacb3e688157,8250424794,Oslo,19990101,1999,Grøndahl Dreyer,nob,Pizzaer / pizza / matlaging / kokebøker,641.82,,Faglitteratur,digibok,1990
2238,URN:NBN:no-nb_digibok_2015042706004,Den Store vegetarkokeboken,"Winther , Stein / Winther , Beate / Rutherford , Tracy / Ray , Kerrie / Price , Jane / Blayney , Deirdre / Stephen , Wendy",oai:nb.bibsys.no:990410944844702202,210e88f3b0fef51cb013db853750e4bd,8278220964,[Oslo],20040101,2004,Spektrum,nob / eng,kokebøker / matoppskrifter / vegetarmat,641.5636,,Faglitteratur,digibok,2000
2239,URN:NBN:no-nb_digibok_2014070807034,En smak av greske øyer,"Westland , Pamela / Dybing , Marion",oai:nb.bibsys.no:999401613894702202,93fcddf63be4f5c889ef4ced48f022f3,8257410381 / 8202140390,,19940101,1994,Cappelen,nob / eng,kokebøker / hellas / gresk / mat,641.59495,,Faglitteratur,digibok,1990
2240,URN:NBN:no-nb_digibok_2015082548053,Vakkert & spiselig : morsomt å lage - perfekt å gi bort,"Holmsäter , Lena / Granaas , Anne Britt / Claesson , Ulrika Jidström",oai:nb.bibsys.no:990117746224702202,51ca4e57e9e22cc2c2612e65930d1745,8245804509,Oslo,20010101,2001,Orion,nob / swe,kokebøker / matlaging / gaver,641.4,,Faglitteratur,digibok,2000
2241,URN:NBN:no-nb_digibok_2014111407631,Lavkarbo fra Middelhavet : velsmakende og lettlaget supermat,"Schück , Cathrine / Moen , Grete Helene / Doublet , Zara / Litsfeldt , Lars-Erik",oai:nb.bibsys.no:991137192644702202,721b859a4db1c7e224ba39bdc2c27881,,Oslo,20110101,2011,Lille måne,nob / swe,kokebøker / lavkarbo / dietter / kosthold,641.563,,Faglitteratur,digibok,2010
2242,URN:NBN:no-nb_digibok_2013021207036,Fra det norske kjøkkens historie,"Skogseth , Arvid",oai:nb.bibsys.no:990926587334702202,80f34097bd2c073ff532fc765f2fab79,,,20090101,2009,Press,nob,Matlagning / Kokker / Kultur / Historisk framstilling / Mattradisjoner / kokekunst / kokkekunst / mattradisjoner / matlaging / noreg / norgehistorie,394.109481 / 641.59481 / 394.109481,,Faglitteratur,digibok,2000
2243,URN:NBN:no-nb_digibok_2020032748130,Kokkeskolen : trinn for trinn : en komplett guide for helt ferske kokker,"Biggs , Fiona / Erichsen , Dorthe / Utheim , Lisbet",oai:nb.bibsys.no:991307947754702202,cfaa4a094978ef899425b9ecb4aadd46,,[Oslo],20130101,2013,Spektrum,nob / eng,kokebøker / matlaging,641.5,,Faglitteratur,digibok,2010
2244,URN:NBN:no-nb_digibok_2018051448153,Norske smakar : ei oppdagingsreise og ei kokebok,"Frosta , Hanne / Eide , Linda / Brødreskift , Thor",oai:nb.bibsys.no:991511553484702202,fc371b592e8c347a75e0c6b8382ad5a3,,,20150101,2015,Vigmostad Bjørke,mul / nob / nno,kokebøker,641.59481,,Faglitteratur,digibok,2010
2245,URN:NBN:no-nb_digibok_2013011606001,Impulser fra mitt kjøkken : mat for glade mennesker,"Holm , Inni-Carine",oai:nb.bibsys.no:999715824834702202,09d09951c457d1a881e73218145df8db,8205082529,Oslo,19750101,1975,Gyldendal,nob,,641.5,,Faglitteratur,digibok,1970
2246,URN:NBN:no-nb_digibok_2007111904003,Når viltet er skutt : behandling av norsk vilt med oppskrifter,"Hagen , Helge",oai:nb.bibsys.no:999220708654702202,3306da0d70e30beeea0cbfd5f8da501d,8276430104 / 8205206090,Oslo,19920101,1992,Gyldendal,nob,kokebøker / viltretter / kjøttretter / vilt,641.36 / 641.39,,Faglitteratur,digibok,1990
2247,URN:NBN:no-nb_digibok_2016042648137,Ganske enkelt deilig mat,"Kalenuik , Ron / Bodson , Michel / Tømt , Wenche",oai:nb.bibsys.no:990012385154702202,57a5340aeb1417fd14fc5d0c3a2f70a9,2894293321,Quebec,19950101,1995,Tormont,nob,,641.59 / 641.5,,Faglitteratur,digibok,1990
2248,URN:NBN:no-nb_digibok_2014022008173,Rask hverdagsmat,"Skovgaard-Petersen , Anne / Berstad , Hege Stølen / Bloch , Hanne",oai:nb.bibsys.no:990517336924702202,13041fd5d3b30d70b6353f81437cfe1b,8203231888,Oslo,20050101,2005,Aschehoug,nob / dan,kokebøker,641.55,,Faglitteratur,digibok,2000
2249,URN:NBN:no-nb_digibok_2009011304034,Peter og poteten,"Furuset , Kjell / Brakestad , Unni",oai:nb.bibsys.no:999708764754702202,13dd332a7220b154f3cf339285a82db2,8252917178,Oslo,19970101,1997,Landbruksforl.,nob,Botanikk / Hobbybøker / Kokebøker / poteter / potetdyrking / matlaging / forming / hagebruk / barn,641.35,,Faglitteratur,digibok,1990
2250,URN:NBN:no-nb_digibok_2014102848212,Verdens hurtigste kokebok med 83 spennende retter av kvernet kjøtt,"Ørsnes , Arvid / Wilson , Bengt",oai:nb.bibsys.no:999520257014702202,43edcd2c6a7c705dfbe48cbf12de8ccb,,[Oslo],19950101,1995,Kenwood,nob,kokebøker / matlaging,641.66,,Faglitteratur,digibok,1990
2251,URN:NBN:no-nb_digibok_2015052648004,Norske mattradisjoner : tradisjonsoppskrifter med vakre bilder fra en kulinarisk matreise,"Svinningen , Mari / Mohaugen , Ellen / Pettersen , Terje Bakke / Mohaugen , Ellen",oai:nb.bibsys.no:990804255504702202,c66619c657431de16101510b85dbd001,,Lillestrøm,20070101,2007,Editorial Fisa - Escudo de Oro,nob,kokebøker / mat / norge,641.59481,,Faglitteratur,digibok,2000
2252,URN:NBN:no-nb_digibok_2008022804087,Arbeidsbok for kjøkken,"Eriksen , Kjell / Årdal , Roald",oai:nb.bibsys.no:999521850404702202,d86e030ff3e86f572a46661943684d18,,[Kristiansand],19950101,1995,[R. Årdal],nob,kokebøker,,,Faglitteratur,digibok,1990
